name_wals	base	cm	NNum	align_direction	base_initial	base_final	base_absent	cm_initial	cm_final	cm_absent	Nnum_initial	Nnum_final	base_wals	cm_wals	NNum_wals	longitude_wals	latitude_wals	family_wals	Continent	iso_code	wals_code	glottocode
Evenki	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	125	56	Altaic	Asia	evn	eve	even1259
Khalkha	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	105	47	Altaic	Asia	khk	kha	halh1238
Nanai	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		137	49.5	Altaic	Asia	gld	nai	nana1257
Tatar	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	49.5	56	Altaic	Europe	tat	tvo	tata1255
Turkish	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Optional	1 Numeral-Noun	35	39	Altaic	Asia	tur	tur	nucl1301
Tuvan	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		95	52	Altaic	Asia	tyv	tuv	tuvi1240
Culina	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		-70.5	-6	Arauan	Americas	cul	cul	culi1244
Deni	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		-67	-6	Arauan	Americas	dny	den	deni1241
Jamamadi	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		-67	-7.5	Arauan	Americas	jaa	jmm	jama1261
Paumari	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	-64	-6	Arauan	Americas	pad	pau	paum1247
Mapudungun	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-72	-38	Araucanian	Americas	arn	map	mapu1245
Apurina	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-67	-9	Arawakan	Americas	apu	apu	apur1254
Arawak	final	Absent	final	final	0	1	0	0	0	1	0	1	3 Pure vigesimal	Absent	1 Numeral-Noun	-55.16666667	5.5	Arawakan	Americas	arw	ara	araw1276
Baniwa	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		-66.83333333	2.666666667	Arawakan	Americas	bwi	bnw	bani1255
Bare	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	1 Numeral-Noun	-67	1	Arawakan	Americas	bae	bae	bare1276
Palikur	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	-51	3	Arawakan	Americas	plu	plk	pali1279
Parecis	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-57	-14	Arawakan	Americas	pab	prc	pare1272
Piro	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-73.5	-11	Arawakan	Americas	pib	pir	yine1238
Terena	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-56	-20	Arawakan	Americas	ter	trn	tere1279
Warekena	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	-67.5	1.5	Arawakan	Americas	gae	wrk	guar1293
Waura	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Optional		-53	-13	Arawakan	Americas	wau	wur	waur1244
Atakapa	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-93.5	30	Atakapa	Americas	aqp	atk	atak1252
Djingili	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		134	-17.75	Australian	Pacific	jig	dji	djin1251
Dyirbal	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	145.5833333	-17.83333333	Australian	Pacific	dbl	dyi	dyir1250
Gaagudju	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	3 No dominant order	132.8333333	-12.58333333	Australian	Pacific	gbu	gaa	gaga1251
Garrwa	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	3 No dominant order	137.1666667	-17.08333333	Australian	Pacific	gbc	grr	gara1261
Gooniyandi	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	1 Numeral-Noun	126.3333333	-18.33333333	Australian	Pacific	gni	goo	goon1238
Gunin	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		126.6666667	-14.25	Australian	Pacific	gww	gnn	kwin1241
Jaminjung	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	3 No dominant order	130.5	-15.08333333	Australian	Pacific	djd	jam	djam1255
Malakmalak	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	130.4166667	-13.41666667	Australian	Pacific	mpb	mlk	mull1237
Mangarrayi	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0	6 Restricted	Absent	3 No dominant order	133.5	-14.66666667	Australian	Pacific	mpc	myi	mang1381
Martuthunira	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	1 Numeral-Noun	116.5	-20.83333333	Australian	Pacific	vma	mrt	mart1255
Maung	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	133.5	-11.91666667	Australian	Pacific	mph	mau	maun1240
Ngarinyman	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		130.5	-16.5	Australian	Pacific	nbj	ngy	ngar1235
Ngiyambaa	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		145.5	-31.75	Australian	Pacific	wyb	ngi	wang1291
Nunggubuyu	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		135.6666667	-13.75	Australian	Pacific	nuy	nug	nung1290
Nyulnyul	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	122.8333333	-17	Australian	Pacific	nyv	nyu	nyul1247
Tiwi	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	131	-11.5	Australian	Pacific	tiw	tiw	tiwi1244
Ungarinjin	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	126	-16.33333333	Australian	Pacific	ung	ung	ngar1284
Uradhi	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		142.4166667	-11.91666667	Australian	Pacific	urf	uhi	urad1239
Warndarang	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		135.5833333	-14.41666667	Australian	Pacific	wnd	wrn	wand1263
Wembawemba	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		144	-35.33333333	Australian	Pacific		wem	
Worora	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		124.6666667	-15.66666667	Australian	Pacific	unp	wor	woro1255
Yidiny	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0	6 Restricted	Absent	2 Noun-Numeral	145.75	-17	Australian	Pacific	yii	yid	yidi1250
Yingkarta	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	114.8333333	-25.16666667	Australian	Pacific	yia	yng	ying1247
Yukulta	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		138.8333333	-17.33333333	Australian	Pacific	gcd	yuk	gang1267
Jahai	final	final	final	final	0	1	0	0	1	0	0	1		Optional		101.5	5.75	Austro-Asiatic	Asia	jhi	jah	jeha1242
Kharia	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	84.33333333	22.5	Austro-Asiatic	Asia	khr	khr	khar1287
Khmer	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Optional	2 Noun-Numeral	105	12.5	Austro-Asiatic	Asia	khm	khm	cent1989
Khmu'	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	102	21	Austro-Asiatic	Asia	kjg	kmu	khmu1256
Korku	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	78.5	22.5	Austro-Asiatic	Asia	kfq	kku	kork1243
Loven	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		106.3333333	15	Austro-Asiatic	Asia	lbo	lov	lave1248
Mah Meri	final	final	final	final	0	1	0	0	1	0	0	1		Optional		101.5	2.833333333	Austro-Asiatic	Asia	mhe	mhm	besi1244
Mlabri (Minor)	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory		101	18.5	Austro-Asiatic	Asia	mra	mlm	mlab1235
Nicobarese (Car)	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	93	9	Austro-Asiatic	Asia	caq	nca	carn1240
Remo	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	82	18	Austro-Asiatic	Asia	bfw	rem	bond1245
Santali	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	87	24.5	Austro-Asiatic	Asia	sat	stl	sant1410
Semelai	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	103	3	Austro-Asiatic	Asia	sza	sml	seme1247
Temiar	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		101.5	5	Austro-Asiatic	Asia	tea	tmr	temi1246
Vietnamese	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	106.5	10.5	Austro-Asiatic	Asia	vie	vie	viet1252
Alune	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Obligatory	2 Noun-Numeral	128.3333333	-3	Austronesian	Asia	alp	aln	alun1238
Ambae (Lolovoli Northeast)	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	167.8833333	-15.41666667	Austronesian	Pacific	omb	aml	east2443
Amis	final	final	final	final	0	1	0	0	1	0	0	1		Absent	1 Numeral-Noun	121.3333333	23.33333333	Austronesian	Asia	ami	ami	amis1246
Arosi	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	161.3333333	-10.25	Austronesian	Pacific	aia	aro	aros1241
Atayal	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	121.3333333	24.5	Austronesian	Asia	tay	ata	atay1247
Seediq	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	121.4166667	24.16666667	Austronesian	Asia	trv	see	taro1264
Malagasy	final	Absent	initial	violation	0	1	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	47	-20	Austronesian	Africa	plt	mal	plat1254
Yami	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		121.5	22	Austronesian	Asia	tao	ymi	yami1254
Napu	final	final	final	final	0	1	0	0	1	0	0	1		Optional		120.4166667	-1.333333333	Austronesian	Asia	npy	npu	napu1241
Padoe	final	final	final	final	0	1	0	0	1	0	0	1		Optional		121.3333333	-2.333333333	Austronesian	Asia	pdo	pad	pado1242
Tukang Besi	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Optional	2 Noun-Numeral	123.5	-5.5	Austronesian	Asia	bhq	tuk	tuka1247
Dobel	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Optional		134.6666667	-6.25	Austronesian	Asia	kvo	dob	dobe1238
Kambera	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		120.1666667	-9.833333333	Austronesian	Asia	xbr	kam	kamb1299
Ke'o	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory		121.25	-8.833333333	Austronesian	Asia	xxk	keo	keoo1238
Kei	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory		132.9166667	-5.833333333	Austronesian	Asia	kei	kei	keii1239
Larike	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory		127.9166667	-3.75	Austronesian	Asia	alo	lrk	lari1255
Leti	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	127.6666667	-8.2	Austronesian	Asia	lti	let	leti1246
Ngad'a	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory	3 No dominant order	121	-8.833333333	Austronesian	Asia	nxg	ngd	ngad1261
Sawu	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		121.9166667	-11.5	Austronesian	Asia	hvn	saw	sabu1255
Tetun	final	initial	initial	violation	0	1	0	1	0	0	1	0		Optional	2 Noun-Numeral	126	-9	Austronesian	Asia	tet	ttn	tetu1245
Chamorro	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	144.75	13.45	Austronesian	Pacific	cha	cha	cham1312
Tagalog	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	121	15	Austronesian	Asia	tgl	tag	taga1270
Javanese	final	final	final	final	0	1	0	0	1	0	0	1		Optional		111	-7	Austronesian	Asia	jav	jav	java1254
Kayu Agung	final	final	final	final	0	1	0	0	1	0	0	1		Optional		104.9166667	-3.166666667	Austronesian	Asia	kge	kag	kome1238
Biatah	final	final	final	final	0	1	0	0	1	0	0	1		Optional		110	1.25	Austronesian	Asia	bth	bit	biat1246
Semandang	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		110.4166667	-0.416666667	Austronesian	Pacific		kua	
Semandang	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		110.5	-0.75	Austronesian	Asia	sdm	smd	sema1269
Balinese	final	final	final	final	0	1	0	0	1	0	0	1		Optional		115.25	-8.333333333	Austronesian	Asia	ban	bal	bali1278
Cham (Eastern)	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		108.5	11.33333333	Austronesian	Asia	cjm	cme	east2563
Cham (Western)	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	105.5	12	Austronesian	Asia	cja	chw	west2650
Indonesian	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Optional	1 Numeral-Noun	106	0	Austronesian	Asia	ind	ind	indo1316
Ketapang	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		110	-1.866666667	Austronesian	Asia	zlm	ktp	mala1479
Minangkabau	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	101	-1	Austronesian	Asia	min	min	mina1268
Begak-Ida'an	final	final	final	final	0	1	0	0	1	0	0	1		Optional		118.8333333	5.25	Austronesian	Asia	dbj	beg	idaa1241
Kayan (Baram)	final	final	final	final	0	1	0	0	1	0	0	1		Optional		114.5	3.5	Austronesian	Asia	kys	kbr	bara1370
Kelabit	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		115.4166667	3.666666667	Austronesian	Asia	kzi	klt	kela1258
Kenyah (Uma' Lung)	final	final	final	final	0	1	0	0	1	0	0	1		Optional		115.8333333	3	Austronesian	Africa		keu	
Lun Dayeh	final	final	final	final	0	1	0	0	1	0	0	1		Optional		115.9166667	4	Austronesian	Asia	lnd	lud	lund1271
Melanau	final	final	final	final	0	1	0	0	1	0	0	1		Optional		111.5	2.5	Austronesian	Asia	mel	mel	cent2101
Narom	final	final	final	final	0	1	0	0	1	0	0	1		Optional		114	4.416666667	Austronesian	Asia	nrm	nrm	naro1251
Timugon	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	116	5	Austronesian	Asia	tih	tim	timu1262
Batak (Karo)	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Optional	1 Numeral-Noun	98.25	3.25	Austronesian	Asia	btx	bkr	bata1293
Simeulue	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		96.25	2.5	Austronesian	Asia	smr	sim	sime1241
Chuukese	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory		151.75	7.333333333	Austronesian	Pacific	chk	cuu	chuu1238
Drehu	final	Absent	final	final	0	1	0	0	0	1	0	1	3 Pure vigesimal	Absent	1 Numeral-Noun	167.25	-21	Austronesian	Pacific	dhv	dre	dehu1237
Erromangan	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	169.1666667	-18.83333333	Austronesian	Pacific	erg	err	siee1239
Fijian	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	178	-17.83333333	Austronesian	Pacific	fij	fij	fiji1243
Futuna-Aniwa	initial	Absent	final	violation	1	0	0	0	0	1	0	1		Absent	3 No dominant order	170.2166667	-19.53333333	Austronesian	Pacific	fut	fut	futu1245
Hawaiian	initial	Absent	final	violation	1	0	0	0	0	1	0	1		Absent	1 Numeral-Noun	-155.5	19.58333333	Austronesian	Americas	haw	haw	hawa1245
Iaai	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	166.5833333	-20.41666667	Austronesian	Pacific	iai	iaa	iaai1238
Kilivila	initial	initial	final	violation	1	0	0	1	0	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	151.0833333	-8.5	Austronesian	Pacific	kij	klv	kili1267
Kiribati	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	173	1.333333333	Austronesian	Pacific	gil	krb	gilb1244
Kosraean	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	163	5.3	Austronesian	Pacific	kos	kos	kosr1238
Loniu	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	147.3333333	-2.066666667	Austronesian	Pacific	los	lon	loni1238
Mokilese	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	159.75	6.666666667	Austronesian	Pacific	mkj	mok	moki1238
Nauruan	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory		166.9166667	-0.5	Austronesian	Pacific	nau	nau	naur1243
Nelemwa	final	initial	final	violation	0	1	0	1	0	0	0	1		Obligatory		164.0833333	-20.25	Austronesian	Pacific	nee	nel	kuma1276
Nyelayu	initial	initial	final	violation	1	0	0	1	0	0	0	1		Obligatory		164.3333333	-20.33333333	Austronesian	Pacific	yly	nyl	nyal1254
Pileni	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Optional		166.2166667	-10.21666667	Austronesian	Pacific	piv	pil	pile1238
Pohnpeian	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	158.25	6.883333333	Austronesian	Pacific	pon	poh	pohn1238
Rapanui	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-109.3666667	-27.11666667	Austronesian	Americas	rap	rap	rapa1244
Samoan	final	final	final	final	0	1	0	0	1	0	0	1		Optional	3 No dominant order	-171.8333333	-13.91666667	Austronesian	Pacific	smo	sam	samo1305
Tawala	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	3 Pure vigesimal	Absent	2 Noun-Numeral	150.6666667	-10.33333333	Austronesian	Pacific	tbo	taw	tawa1275
Tolai	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	152.0833333	-4.25	Austronesian	Pacific	ksd	tla	kuan1248
Tongan	final	final	initial	violation	0	1	0	0	1	0	1	0		Optional	2 Noun-Numeral	-175.1666667	-21.16666667	Austronesian	Pacific	ton	tng	tong1325
Toqabaqita	final	final	final	final	0	1	0	0	1	0	0	1		Optional		160.5833333	-8.416666667	Austronesian	Pacific	mlu	toq	toab1237
Tuvaluan	final	Absent	final	final	0	1	0	0	0	1	0	1		Optional	1 Numeral-Noun	179.1666667	-8.5	Austronesian	Pacific	tvl	tvl	tuva1244
Ulithian	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	139.5833333	9.916666667	Austronesian	Pacific	uli	uli	ulit1238
Ura	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	169.0833333	-18.66666667	Austronesian	Pacific	uur	ura	urav1235
Rukai (Tanan)	initial	Absent	final	violation	1	0	0	0	0	1	0	1		Absent	1 Numeral-Noun	120.8333333	22.83333333	Austronesian	Asia	dru	ruk	ruka1240
Bajau (Semporna)	final	final	final	final	0	1	0	0	1	0	0	1		Optional		118.5	4.5	Austronesian	Asia	ssb	bjs	sout2918
Taba	initial	initial	initial	initial	1	0	0	1	0	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	127.5	0	Austronesian	Asia	mky	tab	east2440
Makassar	final	final	final	final	0	1	0	0	1	0	0	1		Optional		119.5833333	-5.416666667	Austronesian	Asia	mak	mks	maka1311
Mandar	final	final	final	final	0	1	0	0	1	0	0	1		Optional		119.0833333	-3.416666667	Austronesian	Asia	mdr	mnr	mand1442
Tsou	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Absent		120.75	23.5	Austronesian	Asia	tsu	tso	tsou1248
Yapese	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	138.1666667	9.583333333	Austronesian	Pacific	yap	yap	yape1248
Jaqaru	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-76	-13	Aymaran	Americas	jqr	jaq	jaqa1244
Mali	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		152.25	-4.833333333	Baining-Taulil	Pacific	gcc	mli	mali1284
Taulil	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		152.0833333	-4.416666667	Baining-Taulil	Pacific	tuh	tll	taul1251
Basque	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	-3	43	Basque	Europe	eus	bsq	basq1248
Imonda	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0	6 Restricted	Absent	2 Noun-Numeral	141.1666667	-3.333333333	Border	Pacific	imn	imo	imon1245
Burushaski	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	74.5	36.5	Burushaski	Asia	bsk	bur	buru1296
Pawnee	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-98.66666667	41	Caddoan	Americas	paw	pwn	pawn1254
Chayahuita	final	final	final	final	0	1	0	0	1	0	0	1		Optional		-77	-5.5	Cahuapanan	Americas	cbt	chy	chay1248
Hixkaryana	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	1 Numeral-Noun	-59	-1	Cariban	Americas	hix	hix	hixk1239
Panare	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-66	6.5	Cariban	Americas	pbh	pnr	enap1235
Cayuvava	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-65.5	-13.5	Cayuvava	Americas	cyb	cyv	cayu1262
Wari'	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	4 Numeral only modifies verb	-65	-11.33333333	Chapacura-Wanham	Americas	pav	war	wari1268
Ika	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	3 No dominant order	-73.75	10.66666667	Chibchan	Americas	arh	ika	arhu1242
Muisca	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-74	5	Chibchan	Americas	chb	msc	chib1270
Teribe	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory	2 Noun-Numeral	-82.66666667	9.333333333	Chibchan	Americas	tfr	trb	teri1250
Quileute	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-124.25	47.91666667	Chimakuan	Americas	qui	qui	quil1240
Chitimacha	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-91	29.66666667	Chitimacha	Americas	ctm	ctm	chit1248
