name_wals	base	cm	NNum	align_direction	base_initial	base_final	base_absent	cm_initial	cm_final	cm_absent	Nnum_initial	Nnum_final	base_wals	cm_wals	NNum_wals	longitude_wals	latitude_wals	family_wals	Continent	iso_code	wals_code	glottocode
Alagwa	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		35.75	-5.5	Afro-Asiatic	Africa	wbj	agw	alag1248
Amharic	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	38	10	Afro-Asiatic	Africa	amh	amh	amha1245
Arabic (Egyptian)	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	3 No dominant order	31	30	Afro-Asiatic	Africa	arz	aeg	egyp1253
Arabic (Kormakiti)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		33.5	35.25	Afro-Asiatic	Asia	acy	ako	cypr1248
Arabic (Moroccan)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-6	34	Afro-Asiatic	Africa	ary	amr	moro1292
Arbore	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	36.75	5	Afro-Asiatic	Africa	arv	abo	arbo1245
Dizi	final	Absent	initial	violation	0	1	0	0	0	1	1	0		Absent		36.5	6.166666667	Afro-Asiatic	Africa	mdx	diz	dizi1235
Guduf	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		13.8	11.23333333	Afro-Asiatic	Africa	gdf	gdf	gudu1252
Hausa	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	7	12	Afro-Asiatic	Africa	hau	hau	haus1257
Hebrew (Modern)	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	34.83333333	31.5	Afro-Asiatic	Asia	heb	heb	hebr1245
Iraqw	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	35.5	-4	Afro-Asiatic	Africa	irk	irq	iraq1241
Margi	final	Absent	initial	violation	0	1	0	0	0	1	1	0		Absent	2 Noun-Numeral	13	11	Afro-Asiatic	Africa	mrt	mrg	marg1265
Mbugu	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		38.16666667	-4.333333333	Afro-Asiatic	Africa	mhd	mbg	mbug1240
Miya	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	9.666666667	10.91666667	Afro-Asiatic	Africa	mkf	miy	miya1266
Mupun	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	8.833333333	9.5	Afro-Asiatic	Africa	sur	mup	mwag1236
Neo-Aramaic (Arbel Jewish)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	35	31.75	Afro-Asiatic	Asia	aij	naj	lish1245
Ngizim	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	10.91666667	12.08333333	Afro-Asiatic	Africa	ngi	ngz	ngiz1242
Oromo (Harar)	final	Absent	initial	violation	0	1	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	42	9	Afro-Asiatic	Africa	hae	orh	east2652
Tuareg (Ghat)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	10.16666667	25	Afro-Asiatic	Africa	thv	tgh	taha1241
Ainu	final	final	final	final	0	1	0	0	1	0	0	1	3 Pure vigesimal	Optional	1 Numeral-Noun	143	43	Ainu	Asia	ain	ain	ainu1240
Cree (Plains)	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent		-110	54	Algic	Americas	crk	cre	plai1258
Azerbaijani	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	48.5	40.5	Altaic	Asia	azb	aze	sout2697
Buriat	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	108	52	Altaic	Asia	bxm	but	mong1330
Chuvash	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	47.5	55.5	Altaic	Europe	chv	chv	chuv1255
